,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
150,Tommy Doyle,eng ENG,MF,Wolves,22,2001,5.4,0,9,2,22.2,1.66,0.37,0,0,24.5,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
151,Radu Drăgușin,ro ROU,DF,Tottenham,22,2002,13.9,0,5,1,20,0.36,0.07,0,0,12.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
152,Martin Dúbravka,sk SVK,GK,Newcastle Utd,35,1989,10,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
153,Lewis Dunk,eng ENG,DF,Brighton,32,1991,23.1,0,12,3,25,0.52,0.13,0,0,12.1,1,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
154,Jáder Durán,co COL,FW,Aston Villa,20,2003,7.1,7,31,15,48.4,4.37,2.12,0.23,0.47,15.6,0,0,0,4.9,4.9,0.16,2.1,2.1,Matches
155,Claudio Echeverri,ar ARG,FW,Manchester City,18,2006,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
156,Ederson,br BRA,GK,Manchester City,30,1993,25.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
157,George Edmundson,eng ENG,DF,Ipswich Town,26,1997,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
158,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,26,1998,1.3,0,5,1,20,3.91,0.78,0,0,20.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
159,Odsonne Édouard,fr FRA,FW,Leicester City,26,1998,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
160,Samuel Edozie,eng ENG,"DF,FW",Southampton,21,2003,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
161,Ronnie Edwards,eng ENG,DF,Southampton,21,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
162,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22,2002,27.8,6,44,24,54.5,1.58,0.86,0.14,0.25,17.6,6,0,0,4.5,4.5,0.1,1.5,1.5,Matches
163,Harvey Elliott,eng ENG,MF,Liverpool,21,2003,4.1,1,17,4,23.5,4.12,0.97,0.06,0.25,16.9,1,0,0,1.8,1.8,0.1,-0.8,-0.8,Matches
164,Yunus Emre Konak,tr TUR,"FW,MF",Brentford,18,2006,0.5,0,1,0,0,2.14,0,0,,21.4,0,0,0,0.2,0.2,0.15,-0.2,-0.2,Matches
165,Julio Enciso,py PAR,"MF,FW",Ipswich Town,20,2004,9.7,2,32,11,34.4,3.31,1.14,0.06,0.18,23,1,0,0,1.7,1.7,0.05,0.3,0.3,Matches
166,Julio Enciso,py PAR,"MF,FW",Brighton,20,2004,3.3,0,20,11,55,6.12,3.37,0,0,21.3,1,0,0,1,1,0.05,-1,-1,Matches
167,Wataru Endo,jp JPN,"MF,DF",Liverpool,31,1993,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
168,Christian Eriksen,dk DEN,MF,Manchester Utd,32,1992,11.8,1,14,1,7.1,1.19,0.08,0,0,25.8,3,1,1,1.4,0.6,0.04,-0.4,-0.6,Matches
169,Romain Esse,eng ENG,MF,Crystal Palace,19,2005,1.5,1,1,1,100,0.65,0.65,1,1,2.8,0,0,0,0.3,0.3,0.32,0.7,0.7,Matches
170,Pervis Estupiñán,ec ECU,DF,Brighton,26,1998,26.7,1,28,9,32.1,1.05,0.34,0.04,0.11,24.5,3,0,0,1.2,1.2,0.04,-0.2,-0.2,Matches
171,Evanilson,br BRA,FW,Bournemouth,24,1999,25.8,10,72,31,43.1,2.79,1.2,0.14,0.32,12.8,0,0,1,12.5,11.7,0.16,-2.5,-1.7,Matches
172,Jake Evans,,FW,Leicester City,,,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
173,Jonny Evans,nir NIR,DF,Manchester Utd,36,1988,3.5,0,2,1,50,0.57,0.29,0,0,11.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
174,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26,1998,28.8,8,100,27,27,3.48,0.94,0.07,0.26,21.5,16,1,2,10.5,8.9,0.09,-2.5,-1.9,Matches
175,Łukasz Fabiański,pl POL,GK,West Ham,39,1985,12.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
176,Wout Faes,be BEL,DF,Leicester City,26,1998,31.3,1,12,1,8.3,0.38,0.03,0.08,1,9.7,0,0,0,1.5,1.5,0.13,-0.5,-0.5,Matches
177,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20,2004,6.4,0,13,5,38.5,2.02,0.78,0,0,31.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
178,João Félix,pt POR,"FW,MF",Chelsea,24,1999,4.1,1,20,5,25,4.88,1.22,0.05,0.2,15.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2,Matches
179,Evan Ferguson,ie IRL,FW,West Ham,19,2004,1.7,0,5,1,20,2.88,0.58,0,0,17.2,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
180,Evan Ferguson,ie IRL,FW,Brighton,19,2004,2.7,1,7,2,28.6,2.56,0.73,0.14,0.5,19.2,1,0,0,0.5,0.5,0.08,0.5,0.5,Matches
181,Bruno Fernandes,pt POR,MF,Manchester Utd,29,1994,33.5,8,93,26,28,2.77,0.78,0.05,0.19,22.6,12,3,3,9.9,7.6,0.08,-1.9,-2.6,Matches
182,Mateus Fernandes,pt POR,MF,Southampton,20,2004,32.3,2,42,14,33.3,1.3,0.43,0.05,0.14,18.7,4,0,0,4,4,0.1,-2,-2,Matches
183,Enzo Fernández,ar ARG,MF,Chelsea,23,2001,32.7,6,53,20,37.7,1.62,0.61,0.11,0.3,18.1,2,0,0,6.1,6.1,0.11,-0.1,-0.1,Matches
184,Mark Flekken,nl NED,GK,Brentford,31,1993,36.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
185,Phil Foden,eng ENG,"MF,FW",Manchester City,24,2000,19.7,7,54,16,29.6,2.73,0.81,0.13,0.44,18.6,2,0,0,5.2,5.2,0.1,1.8,1.8,Matches
186,Wesley Fofana,fr FRA,DF,Chelsea,23,2000,13,0,3,0,0,0.23,0,0,,10.6,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
187,Carlos Forbs,pt POR,"MF,FW",Wolves,20,2004,2.7,0,2,0,0,0.75,0,0,,19.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
188,Fraser Forster,eng ENG,GK,Tottenham,36,1988,7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
189,Matheus França,br BRA,"MF,FW",Crystal Palace,20,2004,0.6,1,6,3,50,9.82,4.91,0.17,0.33,15.8,0,0,0,0.3,0.3,0.04,0.7,0.7,Matches
190,Ryan Fraser,sct SCO,"FW,DF",Southampton,30,1994,3.4,0,1,1,100,0.29,0.29,0,0,31.6,0,0,0,0,0,0.03,0,0,Matches
191,Tyler Fredricson,eng ENG,DF,Manchester Utd,19,2005,1.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
192,Niclas Füllkrug,de GER,FW,West Ham,31,1993,8.8,3,16,7,43.8,1.82,0.8,0.19,0.43,10.3,0,0,0,2.2,2.2,0.14,0.8,0.8,Matches
193,Cody Gakpo,nl NED,FW,Liverpool,25,1999,21.5,10,57,22,38.6,2.65,1.02,0.18,0.45,15.1,0,0,0,7.1,7.1,0.12,2.9,2.9,Matches
194,Idrissa Gana Gueye,sn SEN,MF,Everton,34,1989,34,0,27,5,18.5,0.79,0.15,0,0,25.2,0,0,0,1.1,1.1,0.04,-1.1,-1.1,Matches
195,Andrés García,es ESP,"DF,MF",Aston Villa,21,2003,3.5,0,2,0,0,0.57,0,0,,26.6,0,0,0,0,0,0.02,0,0,Matches
196,Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20,2004,24.4,6,84,29,34.5,3.44,1.19,0.07,0.21,17,0,0,0,7.3,7.3,0.09,-1.3,-1.3,Matches
197,James Garner,eng ENG,"MF,DF",Everton,23,2001,17.7,0,12,4,33.3,0.68,0.23,0,0,20.4,1,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
198,Tyrique George,eng ENG,FW,Chelsea,18,2006,2,1,3,1,33.3,1.48,0.49,0.33,1,15,0,0,0,0.2,0.2,0.07,0.8,0.8,Matches
199,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,24,2000,31.1,7,61,21,34.4,1.96,0.67,0.11,0.33,17.4,4,0,0,6.3,6.3,0.1,0.7,0.7,Matches
200,Billy Gilmour,sct SCO,MF,Brighton,23,2001,1.1,0,1,0,0,0.92,0,0,,25.5,1,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
201,Ben Godfrey,eng ENG,DF,Ipswich Town,26,1998,1.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
202,Martial Godo,eng ENG,"FW,DF",Fulham,21,2003,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
203,Michael Golding,eng ENG,MF,Leicester City,18,2006,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
204,João Gomes,br BRA,MF,Wolves,23,2001,33,3,35,7,20,1.06,0.21,0.09,0.43,18.3,0,0,0,2.9,2.9,0.08,0.1,0.1,Matches
205,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21,2003,9,2,7,3,42.9,0.78,0.33,0.29,0.67,16.8,0,0,0,0.7,0.7,0.1,1.3,1.3,Matches
206,Toti Gomes,pt POR,DF,Wolves,25,1999,29,0,7,2,28.6,0.24,0.07,0,0,11.6,0,0,0,0.7,0.7,0.1,-0.7,-0.7,Matches
207,Diego Gómez,py PAR,MF,Brighton,21,2003,5.7,1,9,3,33.3,1.57,0.52,0.11,0.33,19.6,2,0,0,0.9,0.9,0.09,0.1,0.1,Matches
208,Joe Gomez,eng ENG,DF,Liverpool,27,1997,5.8,0,3,2,66.7,0.52,0.35,0,0,11.9,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
209,Nicolás González,es ESP,MF,Manchester City,22,2002,8.4,1,9,2,22.2,1.07,0.24,0.11,0.5,19.5,0,0,0,0.5,0.5,0.05,0.5,0.5,Matches
210,Anthony Gordon,eng ENG,"FW,MF",Newcastle Utd,23,2001,27,6,57,16,28.1,2.11,0.59,0.09,0.31,17,1,1,2,8,6.5,0.11,-2,-1.5,Matches
211,Ryan Gravenberch,nl NED,MF,Liverpool,22,2002,35.1,0,20,5,25,0.57,0.14,0,0,24.5,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
212,Archie Gray,eng ENG,"DF,MF",Tottenham,18,2006,19.5,0,1,1,100,0.05,0.05,0,0,24.6,0,0,0,0,0,0.02,0,0,Matches
213,Jack Grealish,eng ENG,"FW,MF",Manchester City,28,1995,8,1,15,5,33.3,1.87,0.62,0.07,0.2,16.3,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
214,Jacob Greaves,eng ENG,DF,Ipswich Town,23,2000,24.5,1,10,4,40,0.41,0.16,0.1,0.25,9.7,0,0,0,1.3,1.3,0.13,-0.3,-0.3,Matches
215,Brajan Gruda,de GER,"MF,FW",Brighton,20,2004,7.6,1,11,5,45.5,1.44,0.66,0.09,0.2,16.9,2,0,0,1.2,1.2,0.11,-0.2,-0.2,Matches
216,Albert Grønbaek,dk DEN,"FW,MF",Southampton,23,2001,1.6,0,2,0,0,1.26,0,0,,22.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
217,Gonçalo Guedes,pt POR,"MF,FW",Wolves,27,1996,11.1,2,27,8,29.6,2.44,0.72,0.07,0.25,18.9,0,0,0,3.2,3.2,0.12,-1.2,-1.2,Matches
218,Marc Guéhi,eng ENG,DF,Crystal Palace,24,2000,34,3,15,7,46.7,0.44,0.21,0.2,0.43,10.7,0,0,0,2,2,0.13,1,1,Matches
219,Luis Guilherme,br BRA,"MF,FW",West Ham,18,2006,1.7,0,4,1,25,2.4,0.6,0,0,13.6,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
220,Bruno Guimarães,br BRA,MF,Newcastle Utd,26,1997,36.3,5,45,13,28.9,1.24,0.36,0.11,0.38,16.4,0,0,0,4.3,4.3,0.1,0.7,0.7,Matches
221,Marc Guiu,es ESP,FW,Chelsea,18,2006,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
222,İlkay Gündoğan,de GER,MF,Manchester City,33,1990,24.7,1,27,7,25.9,1.09,0.28,0.04,0.14,18.1,2,0,0,3.2,3.2,0.12,-2.2,-2.2,Matches
223,Malo Gusto,fr FRA,DF,Chelsea,21,2003,20.7,0,22,4,18.2,1.06,0.19,0,0,21.3,0,0,0,1.7,1.7,0.08,-1.7,-1.7,Matches
224,Joško Gvardiol,hr CRO,DF,Manchester City,22,2002,36.4,5,40,12,30,1.1,0.33,0.13,0.42,12.9,0,0,0,4.6,4.3,0.11,0.4,0.7,Matches
225,Erling Haaland,no NOR,FW,Manchester City,24,2000,30.4,22,104,55,52.9,3.42,1.81,0.18,0.35,12.3,1,3,4,22,18.8,0.19,0,0.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
226,Lewis Hall,eng ENG,DF,Newcastle Utd,19,2004,24.3,0,11,1,9.1,0.45,0.04,0,0,18.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
227,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,22,2002,1.5,0,4,0,0,2.69,0,0,,15.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
228,Marcus Harness,eng ENG,MF,Ipswich Town,28,1996,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
229,Jack Harrison,eng ENG,FW,Everton,27,1996,23.1,1,29,7,24.1,1.26,0.3,0.03,0.14,16.2,0,0,0,3.5,3.5,0.12,-2.5,-2.5,Matches
230,Taylor Harwood-Bellis,eng ENG,DF,Southampton,22,2002,31.4,1,20,8,40,0.64,0.25,0.05,0.13,10.6,0,0,0,1.8,1.8,0.09,-0.8,-0.8,Matches
231,Kai Havertz,de GER,"FW,MF",Arsenal,25,1999,20.8,9,53,21,39.6,2.54,1.01,0.17,0.43,11.6,0,0,0,9.5,9.5,0.18,-0.5,-0.5,Matches
232,Ayden Heaven,eng ENG,DF,Manchester Utd,17,2006,1.9,0,2,0,0,1.06,0,0,,15.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
233,Jan Paul van Hecke,nl NED,DF,Brighton,24,2000,32.9,1,17,5,29.4,0.52,0.15,0.06,0.2,13.9,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
234,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,28,1996,7.3,2,5,3,60,0.68,0.41,0.4,0.67,17.4,0,0,0,0.8,0.8,0.16,1.2,1.2,Matches
235,Dean Henderson,eng ENG,GK,Crystal Palace,27,1997,38,0,1,0,0,0.03,0,0,,14.9,0,0,0,0,0,0.01,0,0,Matches
236,Rico Henry,eng ENG,DF,Brentford,27,1997,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
237,Mads Hermansen,dk DEN,GK,Leicester City,24,2000,26.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
238,Son Heung-min,kr KOR,FW,Tottenham,32,1992,23.4,7,55,24,43.6,2.35,1.02,0.11,0.25,17,1,1,2,7.2,5.7,0.11,-0.2,0.3,Matches
239,James Hill,eng ENG,DF,Bournemouth,22,2002,5,0,6,0,0,1.21,0,0,,13.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
240,Jack Hinshelwood,eng ENG,"MF,DF",Brighton,19,2005,20.5,5,18,10,55.6,0.88,0.49,0.28,0.5,12.2,0,0,0,2.7,2.7,0.15,2.3,2.3,Matches
241,George Hirst,sct SCO,FW,Ipswich Town,25,1999,7.3,3,14,7,50,1.91,0.95,0.21,0.43,11.3,0,0,0,2.1,2.1,0.15,0.9,0.9,Matches
242,Mason Holgate,jm JAM,"FW,DF",Everton,27,1996,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
243,Harry Howell,eng ENG,FW,Brighton,15,2008,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
244,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,23,2000,24.4,5,37,17,45.9,1.52,0.7,0.14,0.29,18.3,0,0,0,2.5,2.5,0.07,2.5,2.5,Matches
245,Will Hughes,eng ENG,MF,Crystal Palace,29,1995,23.4,0,22,1,4.5,0.94,0.04,0,0,22.3,0,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches
246,Dean Huijsen,es ESP,DF,Bournemouth,19,2005,27,3,18,3,16.7,0.67,0.11,0.17,1,11.9,0,0,0,1.9,1.9,0.1,1.1,1.1,Matches
247,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,20,2003,28.7,3,45,18,40,1.57,0.63,0.07,0.17,19.6,4,0,0,2.9,2.9,0.06,0.1,0.1,Matches
248,Rasmus Højlund,dk DEN,FW,Manchester Utd,21,2003,22.3,4,32,13,40.6,1.44,0.58,0.13,0.31,12.9,0,0,0,5.3,5.3,0.16,-1.3,-1.3,Matches
249,Igor,br BRA,DF,Brighton,26,1998,10.7,0,1,0,0,0.09,0,0,,14.1,0,0,0,0,0,0.05,0,0,Matches
250,Danny Ings,eng ENG,"FW,MF",West Ham,32,1992,3.2,1,14,5,35.7,4.44,1.58,0.07,0.2,15.5,0,0,0,2.3,2.3,0.16,-1.3,-1.3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
251,Tim Iroegbunam,eng ENG,MF,Everton,21,2003,6.4,0,5,0,0,0.78,0,0,,22.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
252,Andy Irving,sct SCO,MF,West Ham,24,2000,1.8,0,4,2,50,2.17,1.08,0,0,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
253,Alexander Isak,se SWE,FW,Newcastle Utd,24,1999,30.6,23,95,41,43.2,3.1,1.34,0.2,0.46,14.5,3,4,4,20.3,17.2,0.18,2.7,1.8,Matches
254,Alex Iwobi,ng NGA,"FW,MF",Fulham,28,1996,33.1,9,68,29,42.6,2.05,0.88,0.13,0.31,18.3,0,0,0,4.7,4.7,0.07,4.3,4.3,Matches
255,Nicolas Jackson,sn SEN,FW,Chelsea,23,2001,24.7,10,76,34,44.7,3.08,1.38,0.13,0.29,12.9,0,0,0,12.3,12.3,0.16,-2.3,-2.3,Matches
256,Reece James,eng ENG,"DF,MF",Chelsea,24,1999,11.8,1,11,3,27.3,0.93,0.25,0.09,0.33,23.2,3,0,0,0.4,0.4,0.04,0.6,0.6,Matches
257,Vitaly Janelt,de GER,MF,Brentford,26,1998,25,1,14,4,28.6,0.56,0.16,0.07,0.25,17.7,0,0,0,0.8,0.8,0.06,0.2,0.2,Matches
258,Vitezslav Jaros,cz CZE,GK,Liverpool,23,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
259,Daniel Jebbison,ca CAN,FW,Bournemouth,20,2003,1.3,1,5,2,40,3.78,1.51,0.2,0.5,10.6,0,0,0,1,1,0.2,0,0,Matches
260,Mathias Jensen,dk DEN,MF,Brentford,28,1996,9.6,0,6,1,16.7,0.63,0.1,0,0,23.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
261,Gabriel Jesus,br BRA,FW,Arsenal,27,1997,6.8,3,20,7,35,2.96,1.04,0.15,0.43,11.1,0,0,0,3,3,0.15,0,0,Matches
262,Raúl Jiménez,mx MEX,FW,Fulham,33,1991,27.7,12,93,30,32.3,3.36,1.08,0.1,0.3,14.5,1,3,3,12,9.6,0.1,0,-0.6,Matches
263,Kim Jisoo,kr KOR,DF,Brentford,19,2004,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
264,João Pedro,br BRA,"FW,MF",Brighton,22,2001,21.6,10,42,15,35.7,1.94,0.69,0.12,0.33,17.2,0,5,5,8.9,5,0.12,1.1,0,Matches
265,Joelinton,br BRA,"MF,FW",Newcastle Utd,27,1996,26.6,4,45,13,28.9,1.69,0.49,0.09,0.31,14,0,0,0,3.9,3.9,0.09,0.1,0.1,Matches
266,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,24,2000,15,1,7,3,42.9,0.47,0.2,0.14,0.33,12.6,0,0,0,1.1,1.1,0.15,-0.1,-0.1,Matches
267,Brennan Johnson,wls WAL,FW,Tottenham,23,2001,24.2,11,54,20,37,2.23,0.83,0.2,0.55,11.4,0,0,0,10.4,10.4,0.19,0.6,0.6,Matches
268,Sam Johnstone,eng ENG,GK,Wolves,31,1993,7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
269,Curtis Jones,eng ENG,"MF,DF",Liverpool,23,2001,19,3,34,13,38.2,1.79,0.68,0.09,0.23,17.1,0,0,0,4.3,4.3,0.13,-1.3,-1.3,Matches
270,Jorginho,it ITA,MF,Arsenal,32,1991,7.8,0,2,0,0,0.26,0,0,,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
271,Diogo Jota,pt POR,FW,Liverpool,27,1996,13.3,6,51,13,25.5,3.84,0.98,0.12,0.46,12.4,0,0,0,7.9,7.9,0.16,-1.9,-1.9,Matches
272,James Justin,eng ENG,DF,Leicester City,26,1998,32.4,2,25,6,24,0.77,0.19,0.08,0.33,16.2,2,0,0,1.5,1.5,0.06,0.5,0.5,Matches
273,Filip Jørgensen,dk DEN,GK,Chelsea,22,2002,6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
274,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,24,1999,4.3,1,4,1,25,0.94,0.23,0.25,1,15.1,0,0,0,0.4,0.4,0.11,0.6,0.6,Matches
275,Daichi Kamada,jp JPN,MF,Crystal Palace,27,1996,17.4,0,20,4,20,1.15,0.23,0,0,20.3,0,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
276,Boubacar Kamara,fr FRA,MF,Aston Villa,24,1999,19.2,1,10,3,30,0.52,0.16,0.1,0.33,19.6,0,0,0,0.8,0.8,0.08,0.2,0.2,Matches
277,Joachim Kayi Sanda,fr FRA,DF,Southampton,17,2006,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
278,Michael Kayode,it ITA,DF,Brentford,20,2004,5.9,0,2,0,0,0.34,0,0,,16.8,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
279,Michael Keane,eng ENG,DF,Everton,31,1993,11.7,3,10,4,40,0.86,0.34,0.3,0.75,13.2,0,0,0,0.6,0.6,0.06,2.4,2.4,Matches
280,Caoimhín Kelleher,ie IRL,GK,Liverpool,25,1998,10,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
281,Lloyd Kelly,eng ENG,DF,Newcastle Utd,25,1998,3.4,0,3,0,0,0.89,0,0,,7.3,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
282,Milos Kerkez,hu HUN,DF,Bournemouth,20,2003,37.1,2,19,5,26.3,0.51,0.13,0.11,0.4,20.2,0,0,0,0.6,0.5,0.03,1.4,1.5,Matches
283,Bilal El Khannouss,ma MAR,"MF,FW",Leicester City,20,2004,24.2,2,30,7,23.3,1.24,0.29,0.07,0.29,22,0,0,0,1.3,1.3,0.04,0.7,0.7,Matches
284,Abdukodir Khusanov,uz UZB,DF,Manchester City,20,2004,5.6,0,1,0,0,0.18,0,0,,23.9,0,0,0,0,0,0.02,0,0,Matches
285,Max Kilman,eng ENG,DF,West Ham,27,1997,37.2,0,13,2,15.4,0.35,0.05,0,0,8.9,0,0,0,1.6,1.6,0.13,-1.6,-1.6,Matches
286,Joshua King,eng ENG,MF,Fulham,17,2007,1.4,0,3,0,0,2.08,0,0,,9,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
287,Tom King,wls WAL,GK,Wolves,29,1995,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
288,Antonín Kinský,cz CZE,GK,Tottenham,21,2003,6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
289,Jakub Kiwior,pl POL,DF,Arsenal,24,2000,12.5,1,3,1,33.3,0.24,0.08,0.33,1,18.5,0,0,0,0.2,0.2,0.06,0.8,0.8,Matches
290,Justin Kluivert,nl NED,MF,Bournemouth,25,1999,26,12,57,23,40.4,2.19,0.88,0.11,0.26,20,0,6,6,10.3,5.6,0.1,1.7,0.4,Matches
291,Ibrahima Konaté,fr FRA,DF,Liverpool,25,1999,28.4,1,19,3,15.8,0.67,0.11,0.05,0.33,10.5,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches
292,Ezri Konsa,eng ENG,DF,Aston Villa,26,1997,32.6,2,11,5,45.5,0.34,0.15,0.18,0.4,8.8,0,0,0,1.3,1.3,0.12,0.7,0.7,Matches
293,Mateo Kovačić,hr CRO,MF,Manchester City,30,1994,24.4,6,45,12,26.7,1.84,0.49,0.13,0.5,22.9,0,0,0,1.9,1.9,0.04,4.1,4.1,Matches
294,Caleb Kporha,eng ENG,DF,Crystal Palace,18,2006,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
295,Emil Krafth,se SWE,DF,Newcastle Utd,29,1994,3.8,0,1,0,0,0.26,0,0,,14.6,0,0,0,0,0,0.03,0,0,Matches
296,Mohammed Kudus,gh GHA,"FW,MF",West Ham,23,2000,28.8,5,75,21,28,2.61,0.73,0.07,0.24,16,0,0,0,6.9,6.9,0.09,-1.9,-1.9,Matches
297,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24,2000,26.5,7,47,17,36.2,1.77,0.64,0.15,0.41,14.7,0,0,0,4.2,4.2,0.09,2.8,2.8,Matches
298,Maxence Lacroix,fr FRA,DF,Crystal Palace,24,2000,34.6,1,30,5,16.7,0.87,0.14,0.03,0.2,10.8,0,0,0,3.4,3.4,0.11,-2.4,-2.4,Matches
299,Adam Lallana,eng ENG,MF,Southampton,36,1988,4,0,3,0,0,0.75,0,0,,18.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
300,Tariq Lamptey,gh GHA,DF,Brighton,23,2000,9.6,2,6,2,33.3,0.63,0.21,0.33,1,18.5,0,0,0,0.4,0.4,0.06,1.6,1.6,Matches
